Price_Record_ID,Vendor_ID,Vendor_Name,Paper_Type,Paper_Grade,Brand,GSM,Finish,Color,Sheet_Size_Name (in),SQ. METER,Price_Per_Sheet,Price_Per_Kg,Price_Per_Ream,Sheets_Per_Ream,Stock_Status,MOQ (Sheets),PKT.,Active,,,,
PP101,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE MODIGLIANI CANDIDO,CARDINAL,260.0,Special,White,28.3*39.8,1126.34,79.75,18409.18373,39875,500.0,1 Day,1.0,125.0,Yes,,,,
PP102,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE MODIGLIANI CANDIDO,CARDINAL,300.0,Special,White,25.2*35.4,892.08,72.75,24465.29459,36375,500.0,1 Day,1.0,125.0,Yes,,,,
PP103,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYINSIZE MODIGLIANI CANDIDO,CARDINAL,300.0,Special,White,28.3*39.8,1126.34,92.0,24504.14617,46000,500.0,1 Day,1.0,125.0,Yes,,,,
PP104,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYARTELIBRIS BLU,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,51.0,5392.878228,25500,500.0,1 Day,1.0,250.0,Yes,,,,
PP105,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYARTELIBRIS FUMO,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,51.0,5392.878228,25500,500.0,1 Day,1.0,250.0,Yes,,,,
PP106,VEN002,SONAFINE CORPORATION LTD,Special Paper,MYARTELIBRIS  BLU NAVY,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,54.0,5710.10636,27000,500.0,1 Day,1.0,250.0,Yes,,,,
PP107,VEN002,SONAFINE CORPORATION LTD,Special Paper,MY ARTELIBRIS ROSSO,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,51.0,5392.878228,25500,500.0,1 Day,1.0,250.0,Yes,,,,
PP108,VEN002,SONAFINE CORPORATION LTD,Special Paper,MY ARTELIBRIS CAFFE,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,54.0,5710.10636,27000,500.0,1 Day,1.0,250.0,Yes,,,,
PP109,VEN002,SONAFINE CORPORATION LTD,Special Paper,MY ARTELIBRIS GRIGIO,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,51.0,5392.878228,25500,500.0,1 Day,1.0,250.0,Yes,,,,
PP110,VEN002,SONAFINE CORPORATION LTD,Special Paper,MY ARTELIBRIS BIANCO,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,43.0,4546.936546,21500,500.0,1 Day,1.0,250.0,Yes,,,,
PP111,VEN002,SONAFINE CORPORATION LTD,Special Paper,MY ARTELIBRIS AVORIO,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,43.0,4546.936546,21500,500.0,1 Day,1.0,250.0,Yes,,,,
PP112,VEN002,SONAFINE CORPORATION LTD,Special Paper,MY ARTELIBRIS KAKI,CARDINAL,120.0,Special,White,28.3*40.1,1134.83,51.0,5392.878228,25500,500.0,1 Day,1.0,250.0,Yes,,,,
PP113,VEN002,SONAFINE CORPORATION LTD,Special Paper,BUSAN BLUE,CARDINAL,250.0,Special,BLUE,25*35.8,895,41.0,11452.51397,20500,500.0,1 Day,1.0,250.0,Yes,,,,
PP114,VEN002,SONAFINE CORPORATION LTD,Special Paper,BOMBAY BLUE,CARDINAL,120.0,Special,BLUE,25*35.8,895,21.0,2815.642458,10500,500.0,1 Day,1.0,250.0,Yes,,,,
PP115,VEN002,SONAFINE CORPORATION LTD,Special Paper,BOMBAY BLUE,CARDINAL,250.0,Special,BLUE,25*35.8,895,43.5,12150.83799,21750,500.0,1 Day,1.0,250.0,Yes,,,,
PP116,VEN002,SONAFINE CORPORATION LTD,Special Paper,BOCHAM BLUE,CARDINAL,120.0,Special,BLUE,25*35.8,895,21.0,2815.642458,10500,500.0,1 Day,1.0,250.0,Yes,,,,
PP117,VEN002,SONAFINE CORPORATION LTD,Special Paper,BOCHAM BLUE,CARDINAL,120.0,Special,BLUE,31*43,1333,31.0,2790.697674,15500,500.0,1 Day,1.0,250.0,Yes,,,,
PP118,VEN002,SONAFINE CORPORATION LTD,Special Paper,BOCHAM BLUE,CARDINAL,250.0,Special,BLUE,25*35.8,895,43.5,12150.83799,21750,500.0,1 Day,1.0,250.0,Yes,,,,
PP119,VEN002,SONAFINE CORPORATION LTD,Special Paper,XTELLA BRILLIANT WHITE,CARDINAL,105.0,Special,White,25*36,900,12.75,1487.5,6375,500.0,1 Day,1.0,250.0,Yes,,,,
PP120,VEN002,SONAFINE CORPORATION LTD,Special Paper,XTELLA BRILLIANT WHITE,CARDINAL,105.0,Special,White,28.3*40.1,1134.83,16.0,1480.397945,8000,500.0,1 Day,1.0,250.0,Yes,,,,
