Rate_Record_ID,Vendor_ID,Vendor_Name,Operation_Category,Operation_Type,CUSTOMER NAME,Pages,Quantity,Quantity(Per Sq. Inch),Applicable_Size,Size in Inchi,Max_Size_Length_MM,Max_Size_Width_MM,Pricing_Unit,Rate per Pcs,Rate per sheet,Rate_A4(per Sq. Inch),Minimum Charges,Rate_A3,Qty_Break_1_Min,Qty_Break_1_Rate,Qty_Break_2_Min,Qty_Break_2_Rate,Lead_Time_Days,Active
PPR067,VEN011,BALAJI PRINTING SOLUTION,FULL UV,FULL UV,,,,,,,,,,,,0.3,1000.0,,,,,,,yes
PPR068,VEN011,BALAJI PRINTING SOLUTION,DRIP OFF,DRIP OFF,,,,,,,,,,,,0.55,3500.0,,,,,,,yes
PPR069,VEN011,BALAJI PRINTING SOLUTION,GLOSS LAMINATION,GLOSS LAMINATION,,,,,,,,,,,,0.28,800.0,,,,,,,yes
PPR070,VEN011,BALAJI PRINTING SOLUTION,MATT LAMINATION,MATT LAMINATION,,,,,,,,,,,,0.4,1000.0,,,,,,,yes
PPR071,VEN021,S.D PAPER,EMBOSS,EMBOSS,,0.0,100-500,,,,,,,,,,700.0,,,,,,,
PPR072,VEN021,S.D PAPER,EMBOSS,EMBOSS,,,5000.0,,,,,,,,350/1000,,,,,,,,,
PPR073,VEN021,S.D PAPER,EMBOSS,EMBOSS,,,5000+,,,,,,,,,,,,,,,,,
PPR074,VEN029,S.K. LAMINATES,UV,UV,,,,,,,,,,,1500/1000,1.5,1500.0,,,,,,,YES
PPR075,VEN010,NABAMUDRAN PVT LTD,SECTION SEWING AND PERFECT,SECTION SEWING AND PERFECT,PATHAK INDUSTRIES,C+144,2000.0,,"8.25""X11.75""","8.25""X11.75""",209.55,298.45,,6.75,,,,,,,,,,YES
PPR076,VEN042,EMBASSY PLASTIC ,GUMMING(SILICON),GUMMING(SILICON),FLIPKART,1 PAGES,3560,,,"8""X8""",,,,,,1.5,,,,,,,,
PPR077,VEN042,EMBASSY PLASTIC ,GUMMING(SILICON),GUMMING(SILICON),FLIPKART,1 PAGES,1470.0,,,"15""X18""",,,,,,1.5,,,,,,,,
PPR078,VEN042,EMBASSY PLASTIC ,GUMMING(SILICON),GUMMING(SILICON),FLIPKART,1 PAGES,1375.0,,,"16""X8""",,,,,,1.5,,,,,,,,
PPR079,VEN043,SAFI ENTERPRISE,GUMMING(SILICON),GUMMING(SILICON),FLIPKART,1 PAGES,8360.0,,,"4""X8""",,,,,1.1,,,,,,,,,YES
PPR080,VEN044,VADALO VENTURES PVT LTD.,PREMIUM VELVET DRAWSTRING POUCH,VELVET BAG MAKING AND FOIL,ANNAPURNA,0.0,500.0,,"5""X4""","5""X4""",,,,34.0,,,,,,,,,,YES
,,,,,,,,,,,,,,,,,,,,,,,,YES
